Province, U5 , U15 , O15 ,Cases_2021,Deaths_2021,Cases_2022,Deaths_2022,Cases_2023,Deaths_2023,Total_Cases,Total_Deaths,Endemic,Historical
Bas-Uele,202666.34,337151.21,755316.07,261,4,91,1,163,8,515,13,0,1
Equateur,457782.48,703390.47,1357968.83,655,31,355,9,6825,322,7835,362,1,1
Haut-Katanga,1341342.99,1884768.77,3116022.44,0,0,7,0,1,0,8,0,0,0
Haut-Lomami,895541.83,1258351.93,2080386.8,0,0,0,0,7,0,7,0,0,0
Haut-Uele,292966.81,487381.51,1091875.09,10,0,14,1,0,0,24,1,0,1
Ituri,899920.41,1497087.11,3353911.59,0,0,2,0,2,0,4,0,0,1
Kasaï,847466.09,1353523.26,2430085.2,65,0,228,28,326,10,619,38,1,1
Kasaï-Central,903202.58,1442536.54,2589903.95,19,0,19,0,68,0,106,0,1,1
Kasaï-Oriental,1138486.87,1637734.98,2825452.96,0,0,7,0,0,0,7,0,1,1
Kinshasa,2173849.59,2977231.52,5238608.39,1,0,14,1,37,0,52,1,0,1
Kongo-Central,860665.59,1251337.93,2110501.11,0,0,0,0,3,0,3,0,0,1
Kwango,501275.25,740410.39,1340868.16,3,0,555,6,143,1,701,7,0,1
Kwilu,1003243.93,1481851.87,2683615.69,18,2,55,4,48,1,121,7,0,1
Lomami,839569.3,1207726.06,2083594.52,0,0,1,0,11,0,12,0,0,0
Lualaba,515353.09,724141.87,1197188.7,0,0,0,0,0,0,0,0,0,1
Maï-Ndombe,385074.73,568777.78,1030046.72,341,3,177,5,1982,132,2500,140,1,1
Maniema,513801.53,715518.91,1497361.42,99,3,349,12,219,1,667,16,1,1
Mongala,471411.35,724333.63,1398396.66,248,2,115,6,184,5,547,13,1,1
Nord-Kivu,2119950.48,2983583.42,5475587.3,0,0,8,0,1,0,9,0,0,1
Nord-Ubangi,295736.91,454401.32,877265.3,17,0,34,0,71,6,122,6,0,1
Sankuru,430619.39,619448.58,1068698.79,582,7,2271,42,1748,38,4601,87,1,1
Sud-Kivu,1457607.48,2019413.15,3866790.76,0,0,2,0,116,0,118,0,0,1
Sud-Ubangi,536911.38,824973.29,1592691.03,231,6,161,6,430,11,822,23,1,1
Tanganyika,694202.14,975450.1,1612677.73,0,0,3,0,1,0,4,0,0,0
Tshopo,506598.28,842767.46,1888042.71,125,10,907,74,1398,71,2430,155,1,1
Tshuapa,396240.52,608832.64,1175418.54,318,13,302,18,969,69,1589,100,1,1